bird,n_syll,prop
0,6,0.26
1,4,0.20333333333333328
2,6,0.45
3,4,0.3933333333333333
4,6,0.18333333333333332
5,8,0.35
6,4,0.8933333333333331
7,3,0.6833333333333332
8,4,0.3333333333333334
9,4,0.4733333333333334
10,4,0.5333333333333333
11,4,0.46333333333333326
12,5,0.4233333333333334
13,3,0.3033333333333334
14,5,0.45
15,6,0.49666666666666665
16,5,0.38333333333333336
17,5,0.6366666666666666
18,3,0.48666666666666664
19,4,0.66
20,5,0.7799999999999999
21,4,0.21333333333333335
22,5,0.49
23,3,0.25
24,6,0.8133333333333334
25,4,0.53
26,4,0.61
27,7,0.6799999999999999
28,6,0.2233333333333333
29,8,0.3766666666666667
30,5,0.6333333333333333
